date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:08	87920/87920	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2215770-584f0ddea331f%22	https://homesociete.ca/themes/homesociete/dist/fonts/hinted-GTSuperDisplay-Light.woff	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/fonts/hinted-GTSuperDisplay-Light.woff	(from https://homesociete.ca/themes/homesociete/dist/styles/main.css)
19:52:08	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:06%20GMT	https://homesociete.ca/feed/	C:/My%20Web%20Sites/homesociete/homesociete.ca/feed/index.html	(from https://homesociete.ca/?feed=rss2)
19:52:09	41328/41328	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:52:07%20GMT	https://homesociete.ca/careers/team-leader-warehouse/	C:/My%20Web%20Sites/homesociete/homesociete.ca/careers/team-leader-warehouse/index.html	(from https://homesociete.ca/careers/)
19:52:09	41460/41460	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:52:07%20GMT	https://homesociete.ca/careers/associate-delivery-administration/	C:/My%20Web%20Sites/homesociete/homesociete.ca/careers/associate-delivery-administration/index.html	(from https://homesociete.ca/careers/)
19:52:10	134/134	---MC-	500	error ('Internal%20Server%20Error')	application/json	date:Tue,%2003%20Sep%202019%2016:52:08%20GMT	https://homesociete.ca/wp-ajax.php?action=process_form_submissions	C:/My%20Web%20Sites/homesociete/homesociete.ca/wp-ajax9732.json	(from https://homesociete.ca/)
19:52:10	41257/41257	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:52:08%20GMT	https://homesociete.ca/careers/sales-associate/	C:/My%20Web%20Sites/homesociete/homesociete.ca/careers/sales-associate/index.html	(from https://homesociete.ca/careers/)
19:52:11	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:10%20GMT	https://homesociete.ca/giItT1WQy@!-/	C:/My%20Web%20Sites/homesociete/homesociete.ca/giItT1WQy@!-/index.html	(from https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js)
19:52:11	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:10%20GMT	https://homesociete.ca/images/	C:/My%20Web%20Sites/homesociete/homesociete.ca/images/index.html	(from https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js)
19:52:11	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:10%20GMT	https://homesociete.ca/GET	C:/My%20Web%20Sites/homesociete/homesociete.ca/GET	(from https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js)
19:52:14	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:13%20GMT	https://homesociete.ca/Version/	C:/My%20Web%20Sites/homesociete/homesociete.ca/Version/index.html	(from https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js)
19:52:14	134/134	---MC-	500	error ('Internal%20Server%20Error')	application/json	date:Tue,%2003%20Sep%202019%2016:52:13%20GMT	https://homesociete.ca/wp-ajax.php?action=process_form_submissions	C:/My%20Web%20Sites/homesociete/homesociete.ca/wp-ajax9732.json	(from https://homesociete.ca/)
19:52:14	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:13%20GMT	https://homesociete.ca/version/	C:/My%20Web%20Sites/homesociete/homesociete.ca/version/index-2.html	(from https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js)
